"Name","clay_proj_channels","convlstm_hidden_dims","convlstm_kernel_sizes","convlstm_num_layers","enabled_weather_features","feature_flags.use_dsm","feature_flags.use_clay","feature_flags.use_ndvi","feature_flags.use_ndbi","feature_resolution_m","include_lst","feature_flags.use_lst","n_train_batches","proj_ch","proj_static_ch","proj_temporal_ch","projection_dropout_rate","resolution_m","temporal_seq_len","time_embed_dim","unet_base_channels","unet_depth","unet_dropout_rate","weight_decay","weather_seq_length","uhi_grid_resolution_m","best_val_r2","train_r2","val_r2"
"Clay","32","","","","[""rel_humidity"",""avg_windspeed"",""wind_direction"",""solar_flux"",""air_temp""]","true","true","false","false","30","","false","10","","","","","","","","64","4","0.1","0.01","","30","","0.9811566472053528","0.598808765411377"
"Indices","","","","","[""rel_humidity"",""avg_windspeed"",""wind_direction"",""solar_flux"",""air_temp""]","true","false","true","true","30","","false","20","","","","","","","","64","3","","0.01","","30","","0.9640300273895264","0.2974265217781067"
