"Name","uhi_grid_resolution_m","time_embed_dim","temporal_seq_len","resolution_m","proj_temporal_ch","proj_static_ch","proj_ch","n_train_batches","include_lst","feature_resolution_m","feature_flags.use_ndvi","feature_flags.use_ndbi","feature_flags.use_dsm","feature_flags.use_lst","feature_flags.use_clay","convlstm_kernel_sizes","convlstm_hidden_dims","convlstm_num_layers","clay_proj_channels"
"Clay","100","","20","","16","8","","15","","50","false","false","true","false","true","[[3,3],[3,3],[3,3]]","[32,16,8]","3","16"
"No Clay, Indices","50","","20","","16","16","","11","","50","true","true","true","false","false","[[3,3],[3,3],[3,3]]","[64,32,16]","3","16"
